Surface,X,Y
807.75,-299900.0,-1800000.0
811.33,-299900.0,-1799800.0
817.5,-299900.0,-1799600.0
821.17,-299900.0,-1799400.0
828.08,-299900.0,-1799200.0
831.75,-299900.0,-1799000.0
832.08,-299900.0,-1798800.0
831.17,-299900.0,-1798600.0
828.75,-299900.0,-1798400.0
827.58,-299900.0,-1798200.0
827.58,-299900.0,-1798000.0
827.0,-299900.0,-1797800.0
827.67,-299900.0,-1797600.0
825.58,-299900.0,-1797400.0
821.0,-299900.0,-1797200.0
815.58,-299900.0,-1797000.0
812.58,-299900.0,-1796800.0
811.0,-299900.0,-1796600.0
812.33,-299900.0,-1796400.0
814.25,-299900.0,-1796200.0
817.75,-299900.0,-1796000.0
823.75,-299900.0,-1795800.0
832.67,-299900.0,-1795600.0
841.75,-299900.0,-1795400.0
849.58,-299900.0,-1795200.0
856.0,-299900.0,-1795000.0
859.0,-299900.0,-1794800.0
859.5,-299900.0,-1794600.0
856.5,-299900.0,-1794400.0
853.75,-299900.0,-1794200.0
853.92,-299900.0,-1794000.0
851.83,-299900.0,-1793800.0
848.25,-299900.0,-1793600.0
846.33,-299900.0,-1793400.0
844.25,-299900.0,-1793200.0
843.25,-299900.0,-1793000.0
841.42,-299900.0,-1792800.0
840.0,-299900.0,-1792600.0
839.0,-299900.0,-1792400.0
837.17,-299900.0,-1792200.0
834.67,-299900.0,-1792000.0
832.75,-299900.0,-1791800.0
831.67,-299900.0,-1791600.0
829.33,-299900.0,-1791400.0
824.5,-299900.0,-1791200.0
823.0,-299900.0,-1791000.0
824.42,-299900.0,-1790800.0
827.5,-299900.0,-1790600.0
830.58,-299900.0,-1790400.0
832.58,-299900.0,-1790200.0
832.5,-299900.0,-1790000.0
831.17,-299900.0,-1789800.0
832.42,-299900.0,-1789600.0
837.0,-299900.0,-1789400.0
843.25,-299900.0,-1789200.0
850.42,-299900.0,-1789000.0
857.0,-299900.0,-1788800.0
861.08,-299900.0,-1788600.0
864.67,-299900.0,-1788400.0
869.0,-299900.0,-1788200.0
872.5,-299900.0,-1788000.0
876.5,-299900.0,-1787800.0
880.5,-299900.0,-1787600.0
884.92,-299900.0,-1787400.0
888.42,-299900.0,-1787200.0
891.5,-299900.0,-1787000.0
893.33,-299900.0,-1786800.0
894.33,-299900.0,-1786600.0
893.25,-299900.0,-1786400.0
891.75,-299900.0,-1786200.0
892.08,-299900.0,-1786000.0
891.75,-299900.0,-1785800.0
891.0,-299900.0,-1785600.0
890.5,-299900.0,-1785400.0
890.75,-299900.0,-1785200.0
890.58,-299900.0,-1785000.0
890.08,-299900.0,-1784800.0
890.75,-299900.0,-1784600.0
891.42,-299900.0,-1784400.0
891.58,-299900.0,-1784200.0
892.0,-299900.0,-1784000.0
891.58,-299900.0,-1783800.0
891.5,-299900.0,-1783600.0
891.75,-299900.0,-1783400.0
892.83,-299900.0,-1783200.0
895.42,-299900.0,-1783000.0
898.25,-299900.0,-1782800.0
899.83,-299900.0,-1782600.0
901.0,-299900.0,-1782400.0
901.0,-299900.0,-1782200.0
901.0,-299900.0,-1782000.0
900.08,-299900.0,-1781800.0
900.5,-299900.0,-1781600.0
900.5,-299900.0,-1781400.0
899.92,-299900.0,-1781200.0
899.5,-299900.0,-1781000.0
899.5,-299900.0,-1780800.0
899.75,-299900.0,-1780600.0
901.0,-299900.0,-1780400.0
902.25,-299900.0,-1780200.0
903.25,-299900.0,-1780000.0
904.5,-299900.0,-1779800.0
904.08,-299900.0,-1779600.0
901.08,-299900.0,-1779400.0
897.75,-299900.0,-1779200.0
893.17,-299900.0,-1779000.0
886.17,-299900.0,-1778800.0
879.5,-299900.0,-1778600.0
874.5,-299900.0,-1778400.0
873.33,-299900.0,-1778200.0
872.5,-299900.0,-1778000.0
872.5,-299900.0,-1777800.0
874.17,-299900.0,-1777600.0
875.0,-299900.0,-1777400.0
875.83,-299900.0,-1777200.0
873.92,-299900.0,-1777000.0
872.25,-299900.0,-1776800.0
869.75,-299900.0,-1776600.0
869.67,-299900.0,-1776400.0
871.0,-299900.0,-1776200.0
874.0,-299900.0,-1776000.0
877.75,-299900.0,-1775800.0
879.5,-299900.0,-1775600.0
884.17,-299900.0,-1775400.0
892.58,-299900.0,-1775200.0
895.75,-299900.0,-1775000.0
895.58,-299900.0,-1774800.0
898.58,-299900.0,-1774600.0
900.0,-299900.0,-1774400.0
902.25,-299900.0,-1774200.0
900.92,-299900.0,-1774000.0
895.75,-299900.0,-1773800.0
890.17,-299900.0,-1773600.0
886.08,-299900.0,-1773400.0
885.25,-299900.0,-1773200.0
890.67,-299900.0,-1773000.0
897.25,-299900.0,-1772800.0
903.75,-299900.0,-1772600.0
909.0,-299900.0,-1772400.0
910.75,-299900.0,-1772200.0
913.75,-299900.0,-1772000.0
919.25,-299900.0,-1771800.0
923.0,-299900.0,-1771600.0
926.75,-299900.0,-1771400.0
927.58,-299900.0,-1771200.0
923.0,-299900.0,-1771000.0
915.5,-299900.0,-1770800.0
907.58,-299900.0,-1770600.0
900.42,-299900.0,-1770400.0
895.25,-299900.0,-1770200.0
892.58,-299900.0,-1770000.0
893.42,-299900.0,-1769800.0
895.5,-299900.0,-1769600.0
895.08,-299900.0,-1769400.0
894.08,-299900.0,-1769200.0
894.25,-299900.0,-1769000.0
894.0,-299900.0,-1768800.0
893.0,-299900.0,-1768600.0
890.5,-299900.0,-1768400.0
887.58,-299900.0,-1768200.0
888.0,-299900.0,-1768000.0
883.0,-299900.0,-1767800.0
880.08,-299900.0,-1767600.0
879.33,-299900.0,-1767400.0
877.75,-299900.0,-1767200.0
876.58,-299900.0,-1767000.0
876.33,-299900.0,-1766800.0
872.25,-299900.0,-1766600.0
862.75,-299900.0,-1766400.0
857.83,-299900.0,-1766200.0
857.5,-299900.0,-1766000.0
858.0,-299900.0,-1765800.0
858.08,-299900.0,-1765600.0
860.25,-299900.0,-1765400.0
867.83,-299900.0,-1765200.0
862.83,-299900.0,-1765000.0
862.5,-299900.0,-1764800.0
863.42,-299900.0,-1764600.0
865.17,-299900.0,-1764400.0
866.0,-299900.0,-1764200.0
865.58,-299900.0,-1764000.0
865.83,-299900.0,-1763800.0
868.75,-299900.0,-1763600.0
872.92,-299900.0,-1763400.0
876.17,-299900.0,-1763200.0
877.25,-299900.0,-1763000.0
